
----------------------------- live log collection ------------------------------
DEBUG    jax._src.path:path.py:41 etils.epath found. Using etils.epath for file I/O.

tests/test_manifolds.py::test_ptransp[Hyperboloid-5-11-float32] PASSED   [  4%]
tests/test_manifolds.py::test_tangent_norm[Hyperboloid-5-11-float32] PASSED [  4%]
tests/test_manifolds.py::test_gyration[11-Hyperboloid-5-float32] SKIPPED [  4%]
tests/test_manifolds.py::test_addition[Hyperboloid-5-10-float64] SKIPPED [  4%]
tests/test_manifolds.py::test_scalar_mul[10-Hyperboloid-5-float64] PASSED [  5%]
tests/test_manifolds.py::test_dist[Hyperboloid-5-10-float64] PASSED      [  5%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Hyperboloid-5-10-float64] PASSED [  5%]
tests/test_manifolds.py::test_ptransp[Hyperboloid-5-10-float64] PASSED   [  5%]
tests/test_manifolds.py::test_tangent_norm[Hyperboloid-5-10-float64] PASSED [  5%]
tests/test_manifolds.py::test_gyration[10-Hyperboloid-5-float64] SKIPPED [  5%]
tests/test_manifolds.py::test_addition[Hyperboloid-5-12-float64] SKIPPED [  5%]
tests/test_manifolds.py::test_scalar_mul[12-Hyperboloid-5-float64] PASSED [  5%]
tests/test_manifolds.py::test_dist[Hyperboloid-5-12-float64] PASSED      [  6%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Hyperboloid-5-12-float64] PASSED [  6%]
tests/test_manifolds.py::test_ptransp[Hyperboloid-5-12-float64] PASSED   [  6%]
tests/test_manifolds.py::test_tangent_norm[Hyperboloid-5-12-float64] PASSED [  6%]
tests/test_manifolds.py::test_gyration[12-Hyperboloid-5-float64] SKIPPED [  6%]
tests/test_manifolds.py::test_addition[Hyperboloid-5-12-float32] SKIPPED [  6%]
tests/test_manifolds.py::test_scalar_mul[12-Hyperboloid-5-float32] PASSED [  6%]
tests/test_manifolds.py::test_dist[Hyperboloid-5-12-float32] PASSED      [  6%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Hyperboloid-5-12-float32] PASSED [  6%]
tests/test_manifolds.py::test_ptransp[Hyperboloid-5-12-float32] PASSED   [  7%]
tests/test_manifolds.py::test_tangent_norm[Hyperboloid-5-12-float32] PASSED [  7%]
tests/test_manifolds.py::test_gyration[12-Hyperboloid-5-float32] SKIPPED [  7%]
tests/test_manifolds.py::test_addition[Hyperboloid-2-12-float64] SKIPPED [  7%]
tests/test_manifolds.py::test_scalar_mul[12-Hyperboloid-2-float64] PASSED [  7%]
tests/test_manifolds.py::test_dist[Hyperboloid-2-12-float64] PASSED      [  7%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Hyperboloid-2-12-float64] PASSED [  7%]
tests/test_manifolds.py::test_ptransp[Hyperboloid-2-12-float64] PASSED   [  7%]
tests/test_manifolds.py::test_tangent_norm[Hyperboloid-2-12-float64] PASSED [  7%]
tests/test_manifolds.py::test_gyration[12-Hyperboloid-2-float64] SKIPPED [  8%]
tests/test_manifolds.py::test_addition[Hyperboloid-10-12-float64] SKIPPED [  8%]
tests/test_manifolds.py::test_scalar_mul[12-Hyperboloid-10-float64] PASSED [  8%]
tests/test_manifolds.py::test_dist[Hyperboloid-10-12-float64] PASSED     [  8%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Hyperboloid-10-12-float64] PASSED [  8%]
tests/test_manifolds.py::test_ptransp[Hyperboloid-10-12-float64] PASSED  [  8%]
tests/test_manifolds.py::test_tangent_norm[Hyperboloid-10-12-float64] PASSED [  8%]
tests/test_manifolds.py::test_gyration[12-Hyperboloid-10-float64] SKIPPED [  8%]
tests/test_manifolds.py::test_addition[Hyperboloid-10-12-float32] SKIPPED [  9%]
tests/test_manifolds.py::test_scalar_mul[12-Hyperboloid-10-float32] PASSED [  9%]
tests/test_manifolds.py::test_dist[Hyperboloid-10-12-float32] PASSED     [  9%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Hyperboloid-10-12-float32] PASSED [  9%]
tests/test_manifolds.py::test_ptransp[Hyperboloid-10-12-float32] PASSED  [  9%]
tests/test_manifolds.py::test_tangent_norm[Hyperboloid-10-12-float32] PASSED [  9%]
tests/test_manifolds.py::test_gyration[12-Hyperboloid-10-float32] SKIPPED [  9%]
tests/test_manifolds.py::test_addition[Euclidean-10-12-float64] PASSED   [  9%]
tests/test_manifolds.py::test_scalar_mul[12-Euclidean-10-float64] PASSED [  9%]
tests/test_manifolds.py::test_dist[Euclidean-10-12-float64] PASSED       [ 10%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Euclidean-10-12-float64] PASSED [ 10%]
tests/test_manifolds.py::test_ptransp[Euclidean-10-12-float64] PASSED    [ 10%]
tests/test_manifolds.py::test_tangent_norm[Euclidean-10-12-float64] PASSED [ 10%]
tests/test_manifolds.py::test_gyration[12-Euclidean-10-float64] SKIPPED  [ 10%]
tests/test_manifolds.py::test_addition[PoincareBall-10-12-float64] PASSED [ 10%]
tests/test_manifolds.py::test_scalar_mul[12-PoincareBall-10-float64] PASSED [ 10%]
tests/test_manifolds.py::test_dist[PoincareBall-10-12-float64] PASSED    [ 10%]
tests/test_manifolds.py::test_expmap_retraction_logmap[PoincareBall-10-12-float64] PASSED [ 10%]
tests/test_manifolds.py::test_ptransp[PoincareBall-10-12-float64] PASSED [ 11%]
tests/test_manifolds.py::test_tangent_norm[PoincareBall-10-12-float64] PASSED [ 11%]
tests/test_manifolds.py::test_gyration[12-PoincareBall-10-float64] PASSED [ 11%]
tests/test_manifolds.py::test_addition[PoincareBall-10-12-float32] PASSED [ 11%]
tests/test_manifolds.py::test_scalar_mul[12-PoincareBall-10-float32] PASSED [ 11%]
tests/test_manifolds.py::test_dist[PoincareBall-10-12-float32] PASSED    [ 11%]
tests/test_manifolds.py::test_expmap_retraction_logmap[PoincareBall-10-12-float32] PASSED [ 11%]
tests/test_manifolds.py::test_ptransp[PoincareBall-10-12-float32] PASSED [ 11%]
tests/test_manifolds.py::test_tangent_norm[PoincareBall-10-12-float32] PASSED [ 12%]
tests/test_manifolds.py::test_gyration[12-PoincareBall-10-float32] PASSED [ 12%]
tests/test_manifolds.py::test_addition[PoincareBall-10-11-float64] PASSED [ 12%]
tests/test_manifolds.py::test_scalar_mul[11-PoincareBall-10-float64] PASSED [ 12%]
tests/test_manifolds.py::test_dist[PoincareBall-10-11-float64] PASSED    [ 12%]
tests/test_manifolds.py::test_expmap_retraction_logmap[PoincareBall-10-11-float64] PASSED [ 12%]
tests/test_manifolds.py::test_ptransp[PoincareBall-10-11-float64] PASSED [ 12%]
tests/test_manifolds.py::test_tangent_norm[PoincareBall-10-11-float64] PASSED [ 12%]
tests/test_manifolds.py::test_gyration[11-PoincareBall-10-float64] PASSED [ 12%]
tests/test_manifolds.py::test_addition[PoincareBall-10-11-float32] PASSED [ 13%]
tests/test_manifolds.py::test_scalar_mul[11-PoincareBall-10-float32] PASSED [ 13%]
tests/test_manifolds.py::test_dist[PoincareBall-10-11-float32] PASSED    [ 13%]
tests/test_manifolds.py::test_expmap_retraction_logmap[PoincareBall-10-11-float32] PASSED [ 13%]
tests/test_manifolds.py::test_ptransp[PoincareBall-10-11-float32] PASSED [ 13%]
tests/test_manifolds.py::test_tangent_norm[PoincareBall-10-11-float32] PASSED [ 13%]
tests/test_manifolds.py::test_gyration[11-PoincareBall-10-float32] PASSED [ 13%]
tests/test_manifolds.py::test_addition[PoincareBall-10-10-float64] PASSED [ 13%]
tests/test_manifolds.py::test_scalar_mul[10-PoincareBall-10-float64] PASSED [ 14%]
tests/test_manifolds.py::test_dist[PoincareBall-10-10-float64] PASSED    [ 14%]
tests/test_manifolds.py::test_expmap_retraction_logmap[PoincareBall-10-10-float64] PASSED [ 14%]
tests/test_manifolds.py::test_ptransp[PoincareBall-10-10-float64] PASSED [ 14%]
tests/test_manifolds.py::test_tangent_norm[PoincareBall-10-10-float64] PASSED [ 14%]
tests/test_manifolds.py::test_gyration[10-PoincareBall-10-float64] PASSED [ 14%]
tests/test_manifolds.py::test_addition[PoincareBall-10-10-float32] PASSED [ 14%]
tests/test_manifolds.py::test_scalar_mul[10-PoincareBall-10-float32] PASSED [ 14%]
tests/test_manifolds.py::test_dist[PoincareBall-10-10-float32] PASSED    [ 14%]
tests/test_manifolds.py::test_expmap_retraction_logmap[PoincareBall-10-10-float32] PASSED [ 15%]
tests/test_manifolds.py::test_ptransp[PoincareBall-10-10-float32] PASSED [ 15%]
tests/test_manifolds.py::test_tangent_norm[PoincareBall-10-10-float32] PASSED [ 15%]
tests/test_manifolds.py::test_gyration[10-PoincareBall-10-float32] PASSED [ 15%]
tests/test_manifolds.py::test_addition[PoincareBall-5-12-float64] PASSED [ 15%]
tests/test_manifolds.py::test_scalar_mul[12-PoincareBall-5-float64] PASSED [ 15%]
tests/test_manifolds.py::test_dist[PoincareBall-5-12-float64] PASSED     [ 15%]
tests/test_manifolds.py::test_expmap_retraction_logmap[PoincareBall-5-12-float64] PASSED [ 15%]
tests/test_manifolds.py::test_ptransp[PoincareBall-5-12-float64] PASSED  [ 15%]
tests/test_manifolds.py::test_tangent_norm[PoincareBall-5-12-float64] PASSED [ 16%]
tests/test_manifolds.py::test_gyration[12-PoincareBall-5-float64] PASSED [ 16%]
tests/test_manifolds.py::test_addition[PoincareBall-5-12-float32] PASSED [ 16%]
tests/test_manifolds.py::test_scalar_mul[12-PoincareBall-5-float32] PASSED [ 16%]
tests/test_manifolds.py::test_dist[PoincareBall-5-12-float32] PASSED     [ 16%]
tests/test_manifolds.py::test_expmap_retraction_logmap[PoincareBall-5-12-float32] PASSED [ 16%]
tests/test_manifolds.py::test_ptransp[PoincareBall-5-12-float32] PASSED  [ 16%]
tests/test_manifolds.py::test_tangent_norm[PoincareBall-5-12-float32] PASSED [ 16%]
tests/test_manifolds.py::test_gyration[12-PoincareBall-5-float32] PASSED [ 17%]
tests/test_manifolds.py::test_addition[PoincareBall-2-12-float64] PASSED [ 17%]
tests/test_manifolds.py::test_scalar_mul[12-PoincareBall-2-float64] PASSED [ 17%]
tests/test_manifolds.py::test_dist[PoincareBall-2-12-float64] PASSED     [ 17%]
tests/test_manifolds.py::test_expmap_retraction_logmap[PoincareBall-2-12-float64] PASSED [ 17%]
tests/test_manifolds.py::test_ptransp[PoincareBall-2-12-float64] PASSED  [ 17%]
tests/test_manifolds.py::test_tangent_norm[PoincareBall-2-12-float64] PASSED [ 17%]
tests/test_manifolds.py::test_gyration[12-PoincareBall-2-float64] PASSED [ 17%]
tests/test_manifolds.py::test_addition[PoincareBall-15-12-float64] PASSED [ 17%]
tests/test_manifolds.py::test_scalar_mul[12-PoincareBall-15-float64] PASSED [ 18%]
tests/test_manifolds.py::test_dist[PoincareBall-15-12-float64] PASSED    [ 18%]
tests/test_manifolds.py::test_expmap_retraction_logmap[PoincareBall-15-12-float64] PASSED [ 18%]
tests/test_manifolds.py::test_ptransp[PoincareBall-15-12-float64] PASSED [ 18%]
tests/test_manifolds.py::test_tangent_norm[PoincareBall-15-12-float64] PASSED [ 18%]
tests/test_manifolds.py::test_gyration[12-PoincareBall-15-float64] PASSED [ 18%]
tests/test_manifolds.py::test_addition[PoincareBall-15-12-float32] PASSED [ 18%]
tests/test_manifolds.py::test_scalar_mul[12-PoincareBall-15-float32] PASSED [ 18%]
tests/test_manifolds.py::test_dist[PoincareBall-15-12-float32] PASSED    [ 18%]
tests/test_manifolds.py::test_expmap_retraction_logmap[PoincareBall-15-12-float32] PASSED [ 19%]
tests/test_manifolds.py::test_ptransp[PoincareBall-15-12-float32] PASSED [ 19%]
tests/test_manifolds.py::test_tangent_norm[PoincareBall-15-12-float32] PASSED [ 19%]
tests/test_manifolds.py::test_gyration[12-PoincareBall-15-float32] PASSED [ 19%]
tests/test_manifolds.py::test_addition[PoincareBall-15-11-float64] PASSED [ 19%]
tests/test_manifolds.py::test_scalar_mul[11-PoincareBall-15-float64] PASSED [ 19%]
tests/test_manifolds.py::test_dist[PoincareBall-15-11-float64] PASSED    [ 19%]
tests/test_manifolds.py::test_expmap_retraction_logmap[PoincareBall-15-11-float64] PASSED [ 19%]
tests/test_manifolds.py::test_ptransp[PoincareBall-15-11-float64] PASSED [ 20%]
tests/test_manifolds.py::test_tangent_norm[PoincareBall-15-11-float64] PASSED [ 20%]
tests/test_manifolds.py::test_gyration[11-PoincareBall-15-float64] PASSED [ 20%]
tests/test_manifolds.py::test_addition[PoincareBall-15-11-float32] PASSED [ 20%]
tests/test_manifolds.py::test_scalar_mul[11-PoincareBall-15-float32] PASSED [ 20%]
tests/test_manifolds.py::test_dist[PoincareBall-15-11-float32] PASSED    [ 20%]
tests/test_manifolds.py::test_expmap_retraction_logmap[PoincareBall-15-11-float32] PASSED [ 20%]
tests/test_manifolds.py::test_ptransp[PoincareBall-15-11-float32] PASSED [ 20%]
tests/test_manifolds.py::test_tangent_norm[PoincareBall-15-11-float32] PASSED [ 20%]
tests/test_manifolds.py::test_gyration[11-PoincareBall-15-float32] PASSED [ 21%]
tests/test_manifolds.py::test_addition[PoincareBall-15-10-float64] PASSED [ 21%]
tests/test_manifolds.py::test_scalar_mul[10-PoincareBall-15-float64] PASSED [ 21%]
tests/test_manifolds.py::test_dist[PoincareBall-15-10-float64] PASSED    [ 21%]
tests/test_manifolds.py::test_expmap_retraction_logmap[PoincareBall-15-10-float64] PASSED [ 21%]
tests/test_manifolds.py::test_ptransp[PoincareBall-15-10-float64] PASSED [ 21%]
tests/test_manifolds.py::test_tangent_norm[PoincareBall-15-10-float64] PASSED [ 21%]
tests/test_manifolds.py::test_gyration[10-PoincareBall-15-float64] PASSED [ 21%]
tests/test_manifolds.py::test_addition[PoincareBall-15-10-float32] PASSED [ 21%]
tests/test_manifolds.py::test_scalar_mul[10-PoincareBall-15-float32] PASSED [ 22%]
tests/test_manifolds.py::test_dist[PoincareBall-15-10-float32] PASSED    [ 22%]
tests/test_manifolds.py::test_expmap_retraction_logmap[PoincareBall-15-10-float32] PASSED [ 22%]
tests/test_manifolds.py::test_ptransp[PoincareBall-15-10-float32] PASSED [ 22%]
tests/test_manifolds.py::test_tangent_norm[PoincareBall-15-10-float32] PASSED [ 22%]
tests/test_manifolds.py::test_gyration[10-PoincareBall-15-float32] PASSED [ 22%]
tests/test_manifolds.py::test_addition[Hyperboloid-15-12-float64] SKIPPED [ 22%]
tests/test_manifolds.py::test_scalar_mul[12-Hyperboloid-15-float64] PASSED [ 22%]
tests/test_manifolds.py::test_dist[Hyperboloid-15-12-float64] PASSED     [ 23%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Hyperboloid-15-12-float64] PASSED [ 23%]
tests/test_manifolds.py::test_ptransp[Hyperboloid-15-12-float64] PASSED  [ 23%]
tests/test_manifolds.py::test_tangent_norm[Hyperboloid-15-12-float64] PASSED [ 23%]
tests/test_manifolds.py::test_gyration[12-Hyperboloid-15-float64] SKIPPED [ 23%]
tests/test_manifolds.py::test_addition[Hyperboloid-15-12-float32] SKIPPED [ 23%]
tests/test_manifolds.py::test_scalar_mul[12-Hyperboloid-15-float32] PASSED [ 23%]
tests/test_manifolds.py::test_dist[Hyperboloid-15-12-float32] PASSED     [ 23%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Hyperboloid-15-12-float32] PASSED [ 23%]
tests/test_manifolds.py::test_ptransp[Hyperboloid-15-12-float32] PASSED  [ 24%]
tests/test_manifolds.py::test_tangent_norm[Hyperboloid-15-12-float32] PASSED [ 24%]
tests/test_manifolds.py::test_gyration[12-Hyperboloid-15-float32] SKIPPED [ 24%]
tests/test_manifolds.py::test_addition[Euclidean-15-12-float64] PASSED   [ 24%]
tests/test_manifolds.py::test_scalar_mul[12-Euclidean-15-float64] PASSED [ 24%]
tests/test_manifolds.py::test_dist[Euclidean-15-12-float64] PASSED       [ 24%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Euclidean-15-12-float64] PASSED [ 24%]
tests/test_manifolds.py::test_ptransp[Euclidean-15-12-float64] PASSED    [ 24%]
tests/test_manifolds.py::test_tangent_norm[Euclidean-15-12-float64] PASSED [ 25%]
tests/test_manifolds.py::test_gyration[12-Euclidean-15-float64] SKIPPED  [ 25%]
tests/test_manifolds.py::test_addition[Euclidean-15-12-float32] PASSED   [ 25%]
tests/test_manifolds.py::test_scalar_mul[12-Euclidean-15-float32] PASSED [ 25%]
tests/test_manifolds.py::test_dist[Euclidean-15-12-float32] PASSED       [ 25%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Euclidean-15-12-float32] PASSED [ 25%]
tests/test_manifolds.py::test_ptransp[Euclidean-15-12-float32] PASSED    [ 25%]
tests/test_manifolds.py::test_tangent_norm[Euclidean-15-12-float32] PASSED [ 25%]
tests/test_manifolds.py::test_gyration[12-Euclidean-15-float32] SKIPPED  [ 25%]
tests/test_manifolds.py::test_addition[Hyperboloid-15-11-float64] SKIPPED [ 26%]
tests/test_manifolds.py::test_scalar_mul[11-Hyperboloid-15-float64] PASSED [ 26%]
tests/test_manifolds.py::test_dist[Hyperboloid-15-11-float64] PASSED     [ 26%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Hyperboloid-15-11-float64] PASSED [ 26%]
tests/test_manifolds.py::test_ptransp[Hyperboloid-15-11-float64] PASSED  [ 26%]
tests/test_manifolds.py::test_tangent_norm[Hyperboloid-15-11-float64] PASSED [ 26%]
tests/test_manifolds.py::test_gyration[11-Hyperboloid-15-float64] SKIPPED [ 26%]
tests/test_manifolds.py::test_addition[Hyperboloid-15-11-float32] SKIPPED [ 26%]
tests/test_manifolds.py::test_scalar_mul[11-Hyperboloid-15-float32] PASSED [ 26%]
tests/test_manifolds.py::test_dist[Hyperboloid-15-11-float32] PASSED     [ 27%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Hyperboloid-15-11-float32] PASSED [ 27%]
tests/test_manifolds.py::test_ptransp[Hyperboloid-15-11-float32] PASSED  [ 27%]
tests/test_manifolds.py::test_tangent_norm[Hyperboloid-15-11-float32] PASSED [ 27%]
tests/test_manifolds.py::test_gyration[11-Hyperboloid-15-float32] SKIPPED [ 27%]
tests/test_manifolds.py::test_addition[Hyperboloid-15-10-float64] SKIPPED [ 27%]
tests/test_manifolds.py::test_scalar_mul[10-Hyperboloid-15-float64] PASSED [ 27%]
tests/test_manifolds.py::test_dist[Hyperboloid-15-10-float64] PASSED     [ 27%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Hyperboloid-15-10-float64] PASSED [ 28%]
tests/test_manifolds.py::test_ptransp[Hyperboloid-15-10-float64] PASSED  [ 28%]
tests/test_manifolds.py::test_tangent_norm[Hyperboloid-15-10-float64] PASSED [ 28%]
tests/test_manifolds.py::test_gyration[10-Hyperboloid-15-float64] SKIPPED [ 28%]
tests/test_manifolds.py::test_addition[Hyperboloid-15-10-float32] SKIPPED [ 28%]
tests/test_manifolds.py::test_scalar_mul[10-Hyperboloid-15-float32] PASSED [ 28%]
tests/test_manifolds.py::test_dist[Hyperboloid-15-10-float32] PASSED     [ 28%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Hyperboloid-15-10-float32] PASSED [ 28%]
tests/test_manifolds.py::test_ptransp[Hyperboloid-15-10-float32] PASSED  [ 28%]
tests/test_manifolds.py::test_tangent_norm[Hyperboloid-15-10-float32] PASSED [ 29%]
tests/test_manifolds.py::test_gyration[10-Hyperboloid-15-float32] SKIPPED [ 29%]
tests/test_manifolds.py::test_addition[Euclidean-15-11-float64] PASSED   [ 29%]
tests/test_manifolds.py::test_scalar_mul[11-Euclidean-15-float64] PASSED [ 29%]
tests/test_manifolds.py::test_dist[Euclidean-15-11-float64] PASSED       [ 29%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Euclidean-15-11-float64] PASSED [ 29%]
tests/test_manifolds.py::test_ptransp[Euclidean-15-11-float64] PASSED    [ 29%]
tests/test_manifolds.py::test_tangent_norm[Euclidean-15-11-float64] PASSED [ 29%]
tests/test_manifolds.py::test_gyration[11-Euclidean-15-float64] SKIPPED  [ 29%]
tests/test_manifolds.py::test_addition[Euclidean-15-11-float32] PASSED   [ 30%]
tests/test_manifolds.py::test_scalar_mul[11-Euclidean-15-float32] PASSED [ 30%]
tests/test_manifolds.py::test_dist[Euclidean-15-11-float32] PASSED       [ 30%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Euclidean-15-11-float32] PASSED [ 30%]
tests/test_manifolds.py::test_ptransp[Euclidean-15-11-float32] PASSED    [ 30%]
tests/test_manifolds.py::test_tangent_norm[Euclidean-15-11-float32] PASSED [ 30%]
tests/test_manifolds.py::test_gyration[11-Euclidean-15-float32] SKIPPED  [ 30%]
tests/test_manifolds.py::test_addition[Euclidean-15-10-float64] PASSED   [ 30%]
tests/test_manifolds.py::test_scalar_mul[10-Euclidean-15-float64] PASSED [ 31%]
tests/test_manifolds.py::test_dist[Euclidean-15-10-float64] PASSED       [ 31%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Euclidean-15-10-float64] PASSED [ 31%]
tests/test_manifolds.py::test_ptransp[Euclidean-15-10-float64] PASSED    [ 31%]
tests/test_manifolds.py::test_tangent_norm[Euclidean-15-10-float64] PASSED [ 31%]
tests/test_manifolds.py::test_gyration[10-Euclidean-15-float64] SKIPPED  [ 31%]
tests/test_manifolds.py::test_addition[Euclidean-15-10-float32] PASSED   [ 31%]
tests/test_manifolds.py::test_scalar_mul[10-Euclidean-15-float32] PASSED [ 31%]
tests/test_manifolds.py::test_dist[Euclidean-15-10-float32] PASSED       [ 31%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Euclidean-15-10-float32] PASSED [ 32%]
tests/test_manifolds.py::test_ptransp[Euclidean-15-10-float32] PASSED    [ 32%]
tests/test_manifolds.py::test_tangent_norm[Euclidean-15-10-float32] PASSED [ 32%]
tests/test_manifolds.py::test_gyration[10-Euclidean-15-float32] SKIPPED  [ 32%]
tests/test_manifolds.py::test_addition[PoincareBall-2-12-float32] PASSED [ 32%]
tests/test_manifolds.py::test_scalar_mul[12-PoincareBall-2-float32] PASSED [ 32%]
tests/test_manifolds.py::test_dist[PoincareBall-2-12-float32] PASSED     [ 32%]
tests/test_manifolds.py::test_expmap_retraction_logmap[PoincareBall-2-12-float32] PASSED [ 32%]
tests/test_manifolds.py::test_ptransp[PoincareBall-2-12-float32] PASSED  [ 32%]
tests/test_manifolds.py::test_tangent_norm[PoincareBall-2-12-float32] PASSED [ 33%]
tests/test_manifolds.py::test_gyration[12-PoincareBall-2-float32] PASSED [ 33%]
tests/test_manifolds.py::test_addition[PoincareBall-5-11-float64] PASSED [ 33%]
tests/test_manifolds.py::test_scalar_mul[11-PoincareBall-5-float64] PASSED [ 33%]
tests/test_manifolds.py::test_dist[PoincareBall-5-11-float64] PASSED     [ 33%]
tests/test_manifolds.py::test_expmap_retraction_logmap[PoincareBall-5-11-float64] PASSED [ 33%]
tests/test_manifolds.py::test_ptransp[PoincareBall-5-11-float64] PASSED  [ 33%]
tests/test_manifolds.py::test_tangent_norm[PoincareBall-5-11-float64] PASSED [ 33%]
tests/test_manifolds.py::test_gyration[11-PoincareBall-5-float64] PASSED [ 34%]
tests/test_manifolds.py::test_addition[PoincareBall-5-11-float32] PASSED [ 34%]
tests/test_manifolds.py::test_scalar_mul[11-PoincareBall-5-float32] PASSED [ 34%]
tests/test_manifolds.py::test_dist[PoincareBall-5-11-float32] PASSED     [ 34%]
tests/test_manifolds.py::test_expmap_retraction_logmap[PoincareBall-5-11-float32] PASSED [ 34%]
tests/test_manifolds.py::test_ptransp[PoincareBall-5-11-float32] PASSED  [ 34%]
tests/test_manifolds.py::test_tangent_norm[PoincareBall-5-11-float32] PASSED [ 34%]
tests/test_manifolds.py::test_gyration[11-PoincareBall-5-float32] PASSED [ 34%]
tests/test_manifolds.py::test_addition[PoincareBall-5-10-float64] PASSED [ 34%]
tests/test_manifolds.py::test_scalar_mul[10-PoincareBall-5-float64] PASSED [ 35%]
tests/test_manifolds.py::test_dist[PoincareBall-5-10-float64] PASSED     [ 35%]
tests/test_manifolds.py::test_expmap_retraction_logmap[PoincareBall-5-10-float64] PASSED [ 35%]
tests/test_manifolds.py::test_ptransp[PoincareBall-5-10-float64] PASSED  [ 35%]
